username,name,state,city,address,postalCode,telephone,lastLicenseNumber,lastLicenseValidityDate,nationalCode,registerNumber,manager,socialNetworkAccess,mobile
u14007235167,سهیل میرزا حسین کاشانی و شرکاء,تهران,تهران,خیابان گاندی جنوبی، خیابان بیست و سوم، پلاک 85، طبقه همکف,1517943117,57767000,376688,1400/10/30,14007235167,519242,يوسف ميرزاحسين كاشاني,,
u14008062458,عباس غلامعلی زاده و شرکاء,آذربایجان غربی,ارومیه,ارومیه -دانشکده - کوچه سی و هشتم - بلوار شهید آیت الله بهشتی - پلاک 4 - ساختمان تجاری دانشکده - طبقه همکف,5715918316,4433476071,268132,1400/08/01,14008062458,17719,,,
u14008768059,آرش نجاریان و شرکا,یزد,یزد,يزد، خيابان آيت‌اله کاشاني، کوچه 37 قريشي، پلاک 1185، طبقه همکف,8915633455,,410594,1400/12/01,14008768059,18831,آرش نجاريان,,
u14006583993,آرمان چراغعلی و شرکا,تهران,تهران,میدان فردوسی، مرکز تجارت جهانی، طبقه همکف، واحد 20,1145683693,9122113155,111270,1400/11/01,14006583993,505991,اميرحسين چراغعلي,,
u14003423459,آزاده شعبانپور و شرکاء,مازندران,بابل,خ امام خميني ،پاساژ گلچوبيان ،جنب بانک ملي مازيار,4713786518,3269545-0111,73468,1401/03/10,14003423459,6953,آزاده شعبان پور,,
u10103641242,آشتیانی و شرکا,تهران,تهران,خيابان ولي عصر ، روبروي تالار قصر يخ خیابان دهم گاندي ، کوچه دهم ، پلاک 1,1965645113,88887588,222276,1400/07/13,10103641242,323519,محمدحسن آشتياني عراقي,,
u10420230048,آگاه وشرکا,خوزستان,آبادان,خيابان امام‌خميني ، روبروي مبل‌عدالت ، پلاک 334,6316815484,6153242481,91083,1399/04/10,10420230048,3282,,,
u14005556978,ابراهیم حسن زاد و شرکا ارس,آذربایجان شرقی,منطقه آزاد ارس,جلفا، مرکز نورردوز,5446134156,4142086262,56876,1402/02/25,14005556978,5613,اصغر عبدي,,
u14005831059,ابراهیم زاده و دوخائی و شرکاء,تهران,تهران,محله عباس آباد، خیابان اندیشه، خیابان شهید دکتر بهشتی، طبقه همکف، پلاک 42,1569833811,2188443322,98/205950,1400/06/10,14005831059,491623,محمد دوخائي,,
u10220194171,ابراهیم قدرت و شریک,آذربایجان غربی,ارومیه,محله امام،‌خیابان کشتگر، خیابان خیام جنوبی، پلاک 71,5713614766,4432248606,282270,1399/10/01,10220194171,14195,ابراهيم قدرت,,
u14005840734,ابراهیم قربانی و بیات شرکاء,تهران,تهران,خیابان زرتشت غربی - مجتمع تجاری کیان - طبقه اول- واحد F19,1415784513,2188991600,191343,1402/06/05,14005840734,491819,شهاب ابراهيم قرباني,,
u10980252070,ابراهیم‌پورگجوتی و شرکا,آذربایجان غربی,بازرگان,خيابان امام ، جنب درب گمرک بازرگان ، نبش پاساژ جعفرپور,5867148653,4623376985,287526,1400/09/13,10980252070,772,احمد ابراهيم پورگجوتي,,
u10200266420,ابراهیمی و شرکاء,آذربایجان شرقی,تبریز,آذربايجان شرقي، تبريز، وليعصر جنوبي، خيابان باختر، بلوار 29 بهمن، پلاک 0، طبقه همکف، تلفن: 9-5265001-041,5167653766,413132,333383,1399/11/14,10200266420,21081,يوسف ابراهيمي,,
u14005814280,ابوالحسن جلالی و شرکاء,قم,قم,خيابان ارم - گذر خان - پلاک 5,3715796357,2537848980,98/408787,1399/03/26,14005814280,14150,انسيه ملامحمدي,,
u10861001528,ابوالفضل احمدی وشرکا,قم,قم,خيابان طالقاني، بين سه راه بازار و چهاراه بازار، پلاک 98، طبقه همکف,3714713183,,317756,1400/10/07,10861001528,5378,ابوالفضل احمدي,,
u14008659973,ابوالفضل علیمردانی و شرکا,قم,قم,استان قم، شهر قم، محله بازار، کوچه انقلاب 4، خیابان انقلاب، پلاک 32، طبقه همکف، کد پستی:3713765846,3713765846,2537719932,421669,1400/11/01,14008659973,16818,طيبه معلمي قهساره,,
u14007255073,ابوالقاسم حسنی و شرکاء,تهران,تهران,شهرک راه آهن - خیابان 45 متری کاج - بلوار امیرکبیر - پلاک 0 - برج تجاری اداری مالمون 1 - 10B - طبقه همکف,1494911676,2122767340,211853,1399/06/20,14007255073,519661,,,
u14005714208,ابوبکر قره قول و شرکاء,گلستان,بندرترکمن,بندر ترکمن خیابان جمهوري اسلامي- مابين جمهوري اسلامي 7 و 9 - پلاک 409,4891716673,1734424521,123371,1402/04/16,14005714208,1294,ابوبكر قره قول,,
u14005108228,احسان آذر و شرکا,تهران,تهران,تهران، میدان بهارستان خیابان ملت، پلاک142,1143936515,22435667,51812,1400/11/01,14005108228,476160,محمدعلي عصري,,
u14005613010,احسان آذرنکو و شرکاء قشم,هرمزگان,قشم,بازار خليج فارس – بلوار وليعصر – كوچه خليج فارس – لاين يكم – طبقه همكف – واحد 17,7951916713,7635244427,39108,1400/11/01,14005613010,5384,احسان آذرنكو,,
u14007263684,احسان صادق پور ملک میان و شرکاء,گلستان,گرگان,گلستان-گرگان-خیابان ولیعصر-نبش عدالت 23- پاساژ ایرانشهر طبقه همکف,4917747983,32324453,427257,1398/12/28,14007263684,12335,احسان صادق پورملك ميان,,
u14007671114,احسان عباسی و شرکاء,بوشهر,بوشهر,استان بوشهر - شهرستان بوشهر - بخش مرکزی - شهر بوشهر - محله کوتی - کوچه لیان 11 - خیابان لیان غربی - پلاک 193 - طبقه همکف - کدپستی:7513643959,7513643959,7733329470,220521,1399/06/27,14007671114,12152,احسان عباسي,,
u14005604186,احمد افشار و شریک,اصفهان,اصفهان,اصفهان خ سعادت آباد چهارراه شیخ صدوق صرافی افشار,8163933771,,414524,1398/12/20,14005604186,55643,احمد افشار,,
u10300022558,احمد اله دادی و شرکاء,ایلام,مهران,بخش مركزي - دهستان محسن آب - روستا پايانه مرزي مهران-جاده اصلي-خيابان (پايانه مرزي مهران )-پلاك 0-طبقه اول- غرفه 28,6991118055,8433825412,340655,1399/11/21,10300022558,322,,,
u10862030321,احمد امیری وشرکا کیش,هرمزگان,کیش,بازار ونوس ، ط اول ، پلاک 372(ثبتی 315),7941763873,7644424138,187240,1399/07/09,10862030321,8204,فرزانه محمدي,,
u14005731335,احمد پیمان فر و شرکا,هرمزگان,بندرعباس,بندرعباس، خیابان امام موسی صدرجنوبی، مجتمع شهرداری,7917799455,7632249684,136927,1402/04/26,14005731335,16538,احمد پیمان فر,,
u10320804220,احمد سرکندی و شریک,تهران,تهران,خيابان قائم مقام ، نرسيده به مطهري، پلاک 105,1589673134,2610528-30,334471,1399/11/15,10320804220,427477,احمد سرکندی,,
u10980242140,احمد سلطانی و شرکاء,تهران,تهران,تهران،‌میدان فردوسی، خیابان شهید سروش الدین تقوی، خیابان فردوسی،‌پلاک 479،‌ساختمان مرکز تجارت جهانی فردوسی، طبقه همکف، واحد 53,1145683754,66341930-2,253246,1402/07/22,10980242140,532127,احمد آقاياري,,
u10320861020,احمد سینائی پور و شرکاء,تهران,تهران,خیابان شریعتی ، دو راهی قلهک ، کوی امیرپا برجا ، بلوار شهرزاد،اول خیابان هدایت، پلاک 3,1254785489,2122783520,30939,1401/02/09,10320861020,436805,احمد سينائي پورفرد,,
u10320864591,احمد صریحی و شرکاء,تهران,تهران,خیابان فردوسی ، مرکز تجارت جهانی فردوسی ، طبقه همکف ، پلاک 48,1145683780,2163570000,172331,1400/06/01,10320864591,437375,احمد صريحي,,
u14007253164,احمد لقمانی و شرکاء,مازندران,ساری,ساری، پیام نور، خیابان فرهنگ، کوچه فرهنگ13،فدک 4,4818864737,1133268585,142600,1400/04/30,14007253164,14562,سرور تقوي,,
u14005859794,احمد نمک شناس و شرکا,قم,قم,خیابان انقلاب ، جنب کوچه دو ، پلاک 30,3713765847,2537719932,98/209322,1399/06/10,14005859794,14185,مليحه كياني زاد,,
u10861766280,اختر و نیک ‌روا و شرکاء,کردستان,مریوان,مرز باشماق، خیابان بگ زاده، خیابان مرز، پلاک 141 ، طبقه همکف. موبایل: 09181742547,6674134542,,63074,1401/03/02,10861766280,824,محمدصادق اختر,,
u14007539081,ادریس محمدی و شرکاء,تهران,شمیرانات - تجریش,شهرستان شمیرانات - بخش مرکزی - شهر تجریش - الهیه - خیابان مریم غربی - بلوار آفریقا - پلاک 4 - پاساژ مدرن الهیه - طبقه اول - واحد 33,1964918560,2122057000,48568,1399/05/21,14007539081,525329,سيده ليلا ابراهيمي,,
u14008561497,ارسلان اردکانی فرد و شرکاء,خراسان رضوی,مشهد,محله آب و برق - بلوار گلشن(هفت تیر 8 - هنرستان 9) - بلوار هفت تیر- پلاک 115 - برج آرمیتاژ - طبقه منفی یک,9178773127,,379273,1400/11/01,14008561497,69291,,,
u14006191441,ارسلان نوذری نژاد و شرکاء,تهران,تهران,بلوار آفریقا - بلوار گلشهر - مرکز خرید گلشهر، پلاک 8، طبقه همکف، واحد 8,1915663441,22042346,81827,1400/11/01,14006191441,498787,حميدرضا نوزري نژاد,,
u10800112725,اسد‌پور و صادقی‌لاری,هرمزگان,بندرعباس,بلوار امام خميني، روبروي بازار روز، پاساژ احمدي، مغازه سوم سمت چپ,7914614386,7632252043,333614,1399/05/31,10800112725,8503,محمد هادي صادقي لاري,,
